OU Description,Donor,Donor Description,Donor Rollup Level 3,Donor Rollup Level 3 Descr,Donor Rollup Level 4,Donor Rollup Level 4 Descr,Contribution Revenue
Brazil,11828,BRA-WHIRLPOOL,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRAZIL,PRIVATE NATIONAL,6683.17
Brazil,11830,BRA-BASF,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRAZIL,PRIVATE NATIONAL,6716.42
Brazil,11831,BRA-FIEMG,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRAZIL,PRIVATE NATIONAL,0
Brazil,11832,BRA-NUTRIMENTAL,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRAZIL,PRIVATE NATIONAL,0
Brazil,11834,BRA-GRUPO LIBRA,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRAZIL,PRIVATE NATIONAL,13568.52
Brazil,11835,BRA-Banco Bradesco,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRAZIL,PRIVATE NATIONAL,32195.12
Brazil,11836,BRA-Endesa,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRAZIL,PRIVATE NATIONAL,6602.93
Brazil,11837,BRA-PWC,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRAZIL,PRIVATE NATIONAL,2797.26
Brazil,11838,BRA-BM&F BOVESPA,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRAZIL,PRIVATE NATIONAL,2814.5
Brazil,11839,BRA-COPEL,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRAZIL,PRIVATE NATIONAL,6716.42
Brazil,11840,BRA-CPFL,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRAZIL,PRIVATE NATIONAL,17910.45
Brazil,11841,BRA-PROMON,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRAZIL,PRIVATE NATIONAL,0
Brazil,11842,BRA-FIEP,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRAZIL,PRIVATE NATIONAL,1611.94
Brazil,11843,BRA-PAODEACUCAR,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRAZIL,PRIVATE NATIONAL,17789.76
Brazil,11845,BRA-BANCO ITAU,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRAZIL,PRIVATE NATIONAL,32614.56
Brazil,11847,BRA-ETHOS,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRAZIL,PRIVATE NATIONAL,1580.49
Brazil,11848,BRA-ISAE,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRAZIL,PRIVATE NATIONAL,0
Brazil,11849,BRA-NOVOZYMES,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRAZIL,PRIVATE NATIONAL,2795.53
Brazil,11850,BRA-FIESP,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRAZIL,PRIVATE NATIONAL,1611.94
Brazil,11851,BRA-SAMARCO,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRAZIL,PRIVATE NATIONAL,6626.51
Brazil,11952,BRA-MAERSK,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRAZIL,PRIVATE NATIONAL,228.04
Brazil,12041,BRA-InterCement,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRA-INTERC,InterCement,0
Brazil,12050,BRA-Nestle Brasil,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,BRA-NESTLE,Nestle Brasil,17821.78
Brazil,12055,BRA-Nike Brasil,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,BRA-NIKE,BRA-NIKE BRASIL,28398.55
Brazil,12118,BRA- Banco Santander,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRA-SANTANDER,Branco Santander,0
Brazil,12136,BRA-BERACA SABARA,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRA-,BERACA SABARA,2759.58
Brazil,12153,BRA - INVEPAR BRASIL,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRA-INVESPAR,BRASIL,4769.64
Brazil,12156,BRA-MATTOS FILHO,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRA-MATTOS,FILHO,4253.51
Brazil,12159,UNDG Member Agencies,UN_AGY 1,UN AGENCY 1,UNDG,Member Agencies,0
Brazil,12166,BRA-AES BRAZIL,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRA-AES,BRASIL,4130.52
Brazil,12190,BRA-CIA ULTRAGAZ,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRA-CIA,ULTRAG,10949.8
Brazil,12210,BRA-ANDRE MAGGI,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,BRA-MAGI,MAGI,17789.76
Brazil,12234,BRA-UNIMED NACIONAL,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,BRA-UNIMED,UNIMED,2814.5
Brazil,12235,BRA-SANASA,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,BRA-SANASA,SANASA,4915.52
Brazil,12255,BRA-SESI/DRMG,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRA-SESI,SESI/M,1440.64
Brazil,54394,ITAIPU BINACIONAL,MUTLI_AGY2,MULTI-LATERAL AGENCY2,ITAIPU BIN,BI-LATERAL PARAGUAY & BRAZIL,6716.42
Bulgaria,-,-,-,-,-,-,-50011.94
Bureau for Dev. Policy,3,INTERNATIONAL LABOUR ORGANIZAT,UN_AGY 1,UN AGENCY 1,ILO,AGY_INTERNATIONAL LABOUR ORGAN,0
Bureau for Dev. Policy,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
Burkina Faso,4,FOOD AND AGRICULTURE ORGANIZAT,UN_AGY 1,UN AGENCY 1,FAO,AGY_FOOD AND AGRICULTURE ORGAN,0
Burkina Faso,6,WORLD HEALTH ORGANIZATION,UN_AGY 1,UN AGENCY 1,WHO,AGY_WORLD HEALTH ORGANIZATION,0
Burkina Faso,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
Burkina Faso,23,UN CENTRE FOR HUMAN SETTLEMENT,UN_AGY 1,UN AGENCY 1,UNCHS,AGY_UN CENTRE FOR HUMAN SETTLE,4734.23
Burkina Faso,31,UNITED NATIONS POPULATION FUND,UN_AGY 1,UN AGENCY 1,UNFPA,AGY_UNITED NATIONS POPULATION,0
Burkina Faso,35,UNITED NATIONS CHILDREN'S FUND,UN_AGY 1,UN AGENCY 1,UNICEF,AGY_UNITED NATIONS CHILDREN'S,0
Burkina Faso,37,WORLD FOOD PROGRAMME,UN_AGY 1,UN AGENCY 1,WFP,AGY_WORLD FOOD PROGRAMME,0
Burkina Faso,38,UNOCHA,UN_AGY 1,UN AGENCY 1,OCHA,AGY_UNOCHA1,10000
Burkina Faso,40,UN HIGH COMMISSIONER FOR REFUG,UN_AGY 1,UN AGENCY 1,UNHCR,AGY_UN HIGH COMMISSIONER FOR R,0
Burkina Faso,297,UNAIDS,UN_AGY 1,UN AGENCY 1,UNAIDS,AGY_UNAIDS,0
Burkina Faso,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Burkina Faso,12159,UNDG Member Agencies,UN_AGY 1,UN AGENCY 1,UNDG,Member Agencies,0
Burundi,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
Burundi,35,UNITED NATIONS CHILDREN'S FUND,UN_AGY 1,UN AGENCY 1,UNICEF,AGY_UNITED NATIONS CHILDREN'S,0
Burundi,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,0
Burundi,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Burundi,12159,UNDG Member Agencies,UN_AGY 1,UN AGENCY 1,UNDG,Member Agencies,0
Cairo Regional Center,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
Cairo Regional Center,17,AFRICAN DEVELOPMENT BANK,IFI_ADB,IFI_ADB,ADB,African Development Bank,0
Cairo Regional Center,117,GOVERNMENT OF GERMANY,DEU,Germany,DEU_GOVT,Germany Government,0
Cairo Regional Center,12159,UNDG Member Agencies,UN_AGY 1,UN AGENCY 1,UNDG,Member Agencies,0
Cambodia,4,FOOD AND AGRICULTURE ORGANIZAT,UN_AGY 1,UN AGENCY 1,FAO,AGY_FOOD AND AGRICULTURE ORGAN,0
Cambodia,6,WORLD HEALTH ORGANIZATION,UN_AGY 1,UN AGENCY 1,WHO,AGY_WORLD HEALTH ORGANIZATION,0
Cambodia,9,INTERNATIONAL MARITIME ORGANIZ,UN_AGY 1,UN AGENCY 1,IMO,AGY_INTERNATIONAL MARITIME ORG,0
Cambodia,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,125540
Cambodia,13,UN INDUSTRIAL DEVELOPMENT ORGA,UN_AGY 1,UN AGENCY 1,UNIDO,AGY_UN INDUSTRIAL DEVELOPMENT,0
Cambodia,18,ASIAN DEVELOPMENT BANK,IFI_ASDB,IFI_ASDB,ASDB,Asian Development Bank,0
Cambodia,35,UNITED NATIONS CHILDREN'S FUND,UN_AGY 1,UN AGENCY 1,UNICEF,AGY_UNITED NATIONS CHILDREN'S,0
Cambodia,37,WORLD FOOD PROGRAMME,UN_AGY 1,UN AGENCY 1,WFP,AGY_WORLD FOOD PROGRAMME,0
Cambodia,297,UNAIDS,UN_AGY 1,UN AGENCY 1,UNAIDS,AGY_UNAIDS,0
Cambodia,559,OFFICE OF THE HIGH COMMISSIONE,UN_AGY 1,UN AGENCY 1,OHCHR,AGY_OFFICE OF THE HIGH COMMISS,0
Cambodia,1863,UN Office in Vienna,UN_AGY 1,UN AGENCY 1,UNOV,AGY_UN Office in Vienna,0
Cambodia,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Cambodia,10776,UNWOMEN - CSA,UN_AGY 1,UN AGENCY 1,UNIFEM,AGY_UN DEVELOPMENT FUND FOR WO,0
Cambodia,10778,UNFPA-CSA,UN_AGY 1,UN AGENCY 1,UNFPA,AGY_UNITED NATIONS POPULATION,0
Cambodia,10779,UNOPS-CSA,UN_AGY 1,UN AGENCY 1,UNOPS,United Nations Office for Proj,0
Cambodia,12159,UNDG Member Agencies,UN_AGY 1,UN AGENCY 1,UNDG,Member Agencies,0
"Cameroon, Republic of",187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,0
"Cameroon, Republic of",10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
"Cameroon, Republic of",12159,UNDG Member Agencies,UN_AGY 1,UN AGENCY 1,UNDG,Member Agencies,0
Cape Verde,311,PRIVATE SECTOR,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PRIVSECT,PRIV_PRIVATE SECTOR,85000
Cape Verde,12159,UNDG Member Agencies,UN_AGY 1,UN AGENCY 1,UNDG,Member Agencies,0
Central African Republic,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,426803
Central African Republic,38,UNOCHA,UN_AGY 1,UN AGENCY 1,OCHA,AGY_UNOCHA1,0
Central African Republic,117,GOVERNMENT OF GERMANY,DEU,Germany,DEU_GOVT,Germany Government,0
Central African Republic,171,GOVERNMENT OF MONGOLIA,MNG,Mongolia,MNG_GOVT,Mongolia Government,0
Central African Republic,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Central African Republic,10480,USAID,USA,United States of America,USAID,USAID,500000
Central African Republic,11362,UNOCHA/Central_Emg_Resp_Fund,UN_AGY 1,UN AGENCY 1,OCHA,AGY_UNOCHA1,0
Chad,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
Chad,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,0
Chad,297,UNAIDS,UN_AGY 1,UN AGENCY 1,UNAIDS,AGY_UNAIDS,0
Chad,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Chile,35,UNITED NATIONS CHILDREN'S FUND,UN_AGY 1,UN AGENCY 1,UNICEF,AGY_UNITED NATIONS CHILDREN'S,0
