Region Code Description,Donor,Donor Description,Donor Rollup Level 3,Donor Rollup Level 3 Descr,Donor Rollup Level 4,Donor Rollup Level 4 Descr,Expenses,Expenses
Africa,259,GOVERNMENT OF DEM REPUBLIC OF,ZAR,Democratic Republic of Congo,ZAR_GOVT,Democratic Republic of Congo G,(0.00%),(958)
Africa,261,GOVERNMENT OF ZIMBABWE,ZWE,Zimbabwe,ZWE_GOVT,Zimbabwe Government,0.00%,0
Africa,264,ARAB GULF PROGRAMME FOR UN DEV,MUTLI_AGY2,MULTI-LATERAL AGENCY2,AGFUND,ARAB GULF PROGM FOR UN DEV ORG,0.00%,0
Africa,279,EAST AFRICAN DEVELOPMENT BANK,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EADB,EAST AFRICAN DEVELOPMENT BANK,0.00%,0
Africa,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,0.38%,"6,998,371"
Africa,281,INTERNATIONAL DEVELOPMENT RESE,CAN,Canada,CAN_MIN,Canada Ministry,0.00%,0
Africa,282,LATIN AMERICAN INSTITUTE FOR E,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,ILPES,Unknown Type of Agency,0.00%,0
Africa,283,INSTITUTE REGIONAL DECO-COOPER,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,IRCOD,Unknown Type of Agency,0.00%,0
Africa,286,LEAGUE OF ARAB STATES,MUTLI_AGY2,MULTI-LATERAL AGENCY2,LAS,LEAGUE OF ARAB STATES,0.00%,163
Africa,288,ORGANIZATION OF AMERICAN STATE,MUTLI_AGY2,MULTI-LATERAL AGENCY2,OAS,ORGANIZATN OF AMERICAN STATES,0.00%,0
Africa,289,ORGANIZATION OF AFRICAN UNITY,MUTLI_AGY2,MULTI-LATERAL AGENCY2,OAU,ORGANIZATION OF AFRICAN UNITY,0.00%,166
Africa,296,UNITED NATIONS,UN_AGY 1,UN AGENCY 1,UN,United Nations,0.10%,"1,835,089"
Africa,297,UNAIDS,UN_AGY 1,UN AGENCY 1,UNAIDS,AGY_UNAIDS,0.01%,"113,006"
Africa,298,MAC ARTHUR FOUNDATION,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,MAF,PRIV_MAC ARTHUR FOUNDATION,0.00%,0
Africa,299,SOROS FOUNDATION,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,SOROS,SOROS Foundation,0.00%,0
Africa,302,UNFIP TURNER FOUNDATION,UN_AGY 1,UN AGENCY 1,UNFIP,AGY_UNFIP TURNER FOUNDATION,0.00%,0
Africa,304,FORD FOUNDATION,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,FF,PRI_FORD FOUNDATION,0.00%,0
Africa,307,US COMMITTEE FOR UNDP,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,USANC,PRIV_US NATIONAL COMMITTEE,0.00%,15
Africa,311,PRIVATE SECTOR,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PRIVSECT,PRIV_PRIVATE SECTOR,0.00%,"77,975"
Africa,313,INCOME GENERATED FROM PROJECTS,UN_AGY 1,UN AGENCY 1,IGP,AGY_INCOME GENERATED FROM PROJ,0.00%,0
Africa,314,CISCO SYSTEMS FOUNDATION,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,CISCOSF,PRIV_CISCO SYSTEMS FOUNDATION,0.00%,0
