"hq_co","bureau","operatingunit","awardID","award_title","award_description","start_date","end_date","institutionid","inst_descr","inst_type","inst_type_descr","fiscal_year","budget","expenditure"
"CO","RBAS","KWT","00060139","WRACATI","Women Legal empowerment Project","2010-01-01 00:00:00","2012-12-31 00:00:00","01752","National Execution","GOV","Gov Counterpart Institution","2011","108150","22214.65"
"CO","RBAS","KWT","00062458","Establishment of Women's Research Center"," ","2011-01-01 00:00:00","2013-12-31 00:00:00","01752","National Execution","GOV","Gov Counterpart Institution","2011","217330","0"
"CO","RBAS","KWT","00062460","Support Capacity Dev of GSSCPD to Direct Strategic plan","The government of Kuwait is keen to activate the planning function within the state in order to ensure the optimal use and best distribution of available resources to support social and economic process.","2011-01-01 00:00:00","2013-12-31 00:00:00","01752","National Execution","GOV","Gov Counterpart Institution","2011","1767171","405265.32"
"CO","RBAS","KWT","00063137","Feasibilty Study for KPPTSC","KPPTSC = Kuwait Petroleum and petrotechnical technology and services city","2011-01-01 00:00:00","2012-12-31 00:00:00","01752","National Execution","GOV","Gov Counterpart Institution","2011","69999.56","57036.1"
"CO","RBAS","KWT","00063537","Drafting SME Legislation","Improved business environment for more effective Public-Private sector Partnerships (PPP)","2011-01-01 00:00:00","2012-12-31 00:00:00","01752","National Execution","GOV","Gov Counterpart Institution","2011","72100","59698.8"
"CO","RBAS","LBN","00013371","Rural Dryland Development through UNCCD implementation","ESTABLISHING AND IMPLEMENTING A NATIONAL ACTION PROGRAMME TO COMBAT DESERTIFICATION IN LEBANON","1998-01-01 00:00:00","2012-12-31 00:00:00"," ",,,,"2011","104321","45537.04"
"CO","RBAS","LBN","00013378","support  the structure of the Lebanese Parliament","RENFORCEMENT DE STRUCTURES DU PARLEMENT LIBANAIS","1999-09-01 00:00:00","2011-12-31 00:00:00","01841","Parlement Libanais","GOV","Gov Counterpart Institution","2011","40362","38976.44"
"CO","RBAS","LBN","00013380","Regional Development in Akkar","Support to the Regional Development of Akkar","2002-02-01 00:00:00","2011-06-30 00:00:00"," ",,,,"2011","4949","4948.37"
"CO","RBAS","LBN","00013381","Support to the Ministry of Economy and Trade","Institutional  Assistance for Economic Policy and Trade","2001-02-01 00:00:00","2011-12-31 00:00:00","01833","Ministry of Economy and Trade","GOV","Gov Counterpart Institution","2011","74812","70113.65"
"CO","RBAS","LBN","00013385","PIMS 1188: LCECP","Lebanon-Cross Sectoral Energy Efficiencies and Removal of Barriers to ESCO Operation","2001-09-01 00:00:00","2011-09-22 00:00:00"," ",,,,"2011","654356","644468.99"
"CO","RBAS","LBN","00013387","CAPACITY BUILDING FOR POVERTY REDUCTION","National Programme for Improving Living Conditions: BUILDING CAPACITY FOR POVERTY REDUCTION","2002-05-01 00:00:00","2011-06-30 00:00:00"," ",,,,"2011","119629","92054.68"
"CO","RBAS","LBN","00013388","Provide Support to Administrative reform","Support to Civil Sector Reform: Enhancing Policy-Making and Management Capacity","2003-02-01 00:00:00","2012-03-31 00:00:00","01838","National Execution","GOV","Gov Counterpart Institution","2011","1930000.7","1741467.77"
"CO","RBAS","LBN","00013393","Support to Prime Minister Office","Enhancing Decision-Making Capacities in the Offices of the Prime Minister","2003-01-01 00:00:00","2012-03-31 00:00:00","01842","Prime Minister Office","GOV","Gov Counterpart Institution","2011","1513419","1259769.41"
"CO","RBAS","LBN","00013397","Provide support to the Ministry of Finance","Capacity Development for Fiscal Reform and Management","2003-02-01 00:00:00","2011-12-31 00:00:00","01834","Ministry Of Finance","GOV","Gov Counterpart Institution","2011","182258","165012.95"
"CO","RBAS","LBN","00013399","Capacity Building for the Lebanon Mine Action Center","Capacity Building for Mine Action Assistance","2003-06-01 00:00:00","2010-12-31 00:00:00","01837","National Demining Office","GOV","Gov Counterpart Institution","2011","14125","-2787.37"
"CO","RBAS","LBN","00013400","TARGET","Technical Assistance to Reinforce Governance in Environmental Tasks","2003-10-01 00:00:00","2005-09-30 00:00:00"," ",,,,"2011","96148.26","0"
"CO","RBAS","LBN","00031681","SURF AS"," ","2004-01-01 00:00:00","2008-12-31 00:00:00","99999","UNDP","UND","UNDP","2011","0","247.11"
"CO","RBAS","LBN","00032156","Support to UN Coordination"," ","2004-01-01 00:00:00","2012-12-31 00:00:00","99999","UNDP","UND","UNDP","2011","105115.01","54139.51"
"CO","RBAS","LBN","00033652","UNAIDS-PAF"," ","2004-01-01 00:00:00","2011-12-31 00:00:00","99999","UNDP","UND","UNDP","2011","1","-761.55"
"CO","RBAS","LBN","00034178","SURF AS Development Project"," ","2004-01-01 00:00:00","2004-12-31 00:00:00","99999","UNDP","UND","UNDP","2011","0","1805"
"CO","RBAS","LBN","00037201","PIMS 3348:CC/EA: SNC to UNFCCC","Climate Change Enabling Activity - Self-Assessment Exercise","2004-12-01 00:00:00","2010-12-31 00:00:00","01832","Ministry Of Environment","GOV","Gov Counterpart Institution","2011","13951","10774.08"
"CO","RBAS","LBN","00037371","Institutional Support to the Ministry of Environment","Institutional Support to the Directorate General of Environment","2005-01-01 00:00:00","2013-12-31 00:00:00","01832","Ministry Of Environment","GOV","Gov Counterpart Institution","2011","915092.79","846674.58"
"CO","RBAS","LBN","00038693","Support National Dialogue on Corruption in Lebanon"," ","2005-01-01 00:00:00","2006-12-31 00:00:00","01839","Non-Governmental Organisation","NGL","Local NGO","2011","0","138.54"
