awardID,lat,lon,precision,type,scope
62516,9.5,2.25,9,2,4
62496,9.5,2.25,9,1,4
61968,9.5,2.25,9,2,4
61735,9.5,2.25,9,2,4
61139,9.5,2.25,9,2,4
60692,9.5,2.25,9,2,4
60591,9.5,2.25,9,2,4
60494,9.5,2.25,9,2,4
60364,9.5,2.25,9,2,4
59414,9.5,2.25,9,2,4
59407,9.5,2.25,9,2,4
59395,9.5,2.25,9,2,4
58613,9.5,2.25,9,2,4
57962,9.5,2.25,9,2,4
57588,9.5,2.25,9,2,4
57188,9.5,2.25,9,2,4
56916,9.5,2.25,9,2,4
68055,9.5,2.25,9,2,4
50637,9.5,2.25,9,2,4
50636,9.5,2.25,9,2,4
49778,9.5,2.25,9,2,4
49411,9.5,2.25,9,2,4
48938,9.5,2.25,9,2,4
47874,9.5,2.25,9,2,4
47874,9.5,2.25,9,2,4
47560,9.5,2.25,9,2,4
46750,9.5,2.25,9,2,4
46023,9.5,2.25,9,2,4
46023,9.5,2.25,9,2,4
46021,9.5,2.25,9,2,4
45744,9.5,2.25,9,2,4
44266,9.5,2.25,9,2,4
43502,9.5,2.25,9,2,4
42419,9.5,2.25,9,2,4
42099,9.5,2.25,9,2,4
41617,9.5,2.25,9,2,4
40135,9.5,2.25,9,2,4
39384,9.5,2.25,9,2,4
36786,9.5,2.25,9,2,4
36786,9.5,2.25,9,2,4
36774,9.5,2.25,9,2,4
36237,9.5,2.25,9,2,4
34696,9.5,2.25,9,2,4
34332,9.5,2.25,9,2,4
34261,9.5,2.25,9,2,4
25485,9.5,2.25,9,2,4
25484,9.5,2.25,9,2,4
25483,9.5,2.25,9,2,4
11484,9.5,2.25,9,2,4
11482,9.5,2.25,9,2,4
11481,9.5,2.25,9,2,4
11480,9.5,2.25,9,2,4
66629,6.36536,2.41833,3,2,3
50805,9.5,2.25,9,2,3
50805,9.5,2.25,9,2,3
66629,6.36536,2.41833,3,2,3
50805,9.5,2.25,9,2,3
50805,9.5,2.25,9,2,3
61195,11.65022,2.5404,3,2,2
56912,9.73027,2.45032,3,2,3
56912,9.73027,2.45032,3,2,3
61195,11.65022,2.5404,3,2,2
61195,11.65022,2.5404,3,2,2
56915,7.45,2.626,3,2,3
50805,9.5,2.25,9,2,3
66629,6.36536,2.41833,3,2,3
50805,9.5,2.25,9,2,3
56912,9.73027,2.45032,3,2,3
56912,9.73027,2.45032,3,2,3
56912,9.73027,2.45032,3,2,3
56912,9.73027,2.45032,3,2,3
66629,6.36536,2.41833,3,2,3
56912,9.73027,2.45032,3,2,3
56912,9.73027,2.45032,3,2,3
50805,9.5,2.25,9,2,3
71263,6.44151,2.5475,4,2,3
56912,9.73027,2.45032,3,2,3
56912,9.73027,2.45032,3,2,3
66629,6.36536,2.41833,3,2,3
56912,9.73027,2.45032,3,2,3
56912,9.73027,2.45032,3,2,3
50805,9.5,2.25,9,2,3
35059,6.49646,2.60359,3,1,4
66629,6.36536,2.41833,3,2,3
56912,9.73027,2.45032,3,2,3
56912,9.73027,2.45032,3,2,3
56912,9.73027,2.45032,3,2,3
56912,9.73027,2.45032,3,2,3
56915,7.45,2.626,3,2,3
50805,9.5,2.25,9,2,3
47776,13,-2,9,2,3
62127,12.36566,-1.53388,3,1,3
60110,12.36566,-1.53388,3,1,3
48779,13,-2,9,2,3
62580,13,-2,9,1,4
62390,13,-2,9,1,4
62276,13,-2,9,1,4
62180,13,-2,9,1,4
59798,13,-2,9,1,4
59371,13,-2,9,1,4
58338,13,-2,9,1,4
58308,13,-2,9,1,4
58280,13,-2,9,1,4
58088,13,-2,9,1,4
57548,13,-2,9,1,4
57453,12.36566,-1.53388,3,1,4
56535,13,-2,9,1,4
51237,13,-2,9,1,4
50736,13,-2,9,1,4
50677,13,-2,9,1,4
50329,13,-2,9,1,4
50279,13,-2,9,1,4
44934,13,-2,9,1,4
44615,13,-2,9,1,4
44399,13,-2,9,1,4
44399,13,-2,9,1,4
44280,13,-2,9,1,4
44234,13,-2,9,1,4
44232,13,-2,9,1,4
44072,13,-2,9,1,4
33364,13,-2,9,1,4
11578,13,-2,9,1,4
11565,13,-2,9,1,4
59960,12.25488,-2.36876,4,1,2
47176,13,-2,9,2,3
47390,13,-2,9,2,3
46503,13,-2,9,2,3
47474,13,-2,9,2,3
48680,13,-2,9,2,3
44395,13,-2,9,2,3
44306,13,-2,9,2,3
44231,13,-2,9,2,3
59616,12.25,-3.41667,3,1,2
57467,12.36566,-1.53388,3,2,3
50279,13,-2,9,1,4
57467,12.36566,-1.53388,3,2,3
44219,13,-2,9,2,3
36132,13,-2,9,2,3
33364,13,-2,9,2,3
62761,12.36566,-1.53388,3,1,1
59432,12.36566,-1.53388,3,1,1
58092,12.36566,-1.53388,3,1,1
57661,12.36566,-1.53388,3,1,1
57467,12.36566,-1.53388,3,2,3
57453,12.36566,-1.53388,3,1,1
57453,12.36566,-1.53388,3,1,1
57453,12.36566,-1.53388,3,1,4
51349,12.36566,-1.53388,3,1,1
50034,13,-2,9,2,3
43891,12.36566,-1.53388,3,1,4
47521,13,-2,9,2,3
57467,12.36566,-1.53388,3,2,3
62127,12.36566,-1.53388,3,1,3
60110,12.36566,-1.53388,3,1,3
47474,13,-2,9,2,3
11500,24.8118,88.94657,3,2,4
11503,22.63333,92.2,3,2,2
11503,22.63333,92.2,3,2,2
11503,22.63333,92.2,3,2,2
11503,22.63333,92.2,3,2,2
11503,22.63333,92.2,3,2,2
