iso3,abbrev,terr_id,name,lon,lat,terr_name
UKR,UKR,253,Ukraine,31.387115,49.396606,Ukraine
URY,URY,258,Uruguay,-56.012396,-32.799645,Uruguay
USA,USA,256,United States,-100.347172,40.382491,United States
UZB,UZB,259,Uzbekistan,63.169364,41.750444,Uzbekistan
VAT,VAT,107,Holy See,12.452254,41.903365,Holy See
VCT,VCT,208,Saint Vincent and the Grenadines,-61.193766,13.254811,Saint Vincent and the Grenadines
VEN,VEN,261,Venezuela (Bolivarian Republic of),-65.647727,7.786605,Venezuela
VGB,GBR,37,British Virgin Islands,-64.530423,18.444589,British Virgin Islands
VIR,USA,257,United States Virgin Island,-64.807034,17.905107,United States Virgin Island
VNM,VNM,262,Viet Nam,108.341384,14.287268,Vietnam
VUT,VUT,260,Vanuatu,167.718146,-16.255053,Vanuatu
WSM,WSM,209,Samoa,-172.159464,-13.758364,Samoa
YEM,YEM,267,Yemen,47.599591,15.905517,Yemen
ZAF,ZAF,224,South Africa,24.70926,-28.329047,South Africa
ZMB,ZMB,268,Zambia,27.466171,-13.927416,Zambia
ZWE,ZWE,269,Zimbabwe,29.729518,-19.379617,Zimbabwe
KOS,KOS,,Kosovo,20.872,42.571,Kosovo
SSD,SSD,,South Sudan,30.34,7.37,South Sudan
BRC,RBAP,BRC,Rgnl Center in Bangkok (RCB),100.501,13.754,Rgnl Center in Bangkok (RCB)
CRC,RBAP,CRC,Rgnl Centre in Colombo (RCC),79.848,6.932,Rgnl Centre in Colombo (RCC)
H01,RBA,H01,Reg Bureau for Africa,,,Reg Bureau for Africa
H02,RBEC,H02,Reg Bur for Europe & CIS,,,Reg Bur for Europe & CIS
H03,RBLAC,H03,Reg Bur Latin Amer & Carib,,,Reg Bur Latin Amer & Carib
H04,RBAP,H04,Reg Bureau for Asia & Pacific,,,Reg Bureau for Asia & Pacific
H05,RBAS,H05,Reg Bur for Arab States,,,Reg Bur for Arab States
H10,BCPR,H10,BCPR,,,BCPR
H11,EO,H11,Evaluation Office,,,Evaluation Office
H13,OA,H13,Office of the Administrator,,,Office of the Administrator
H18,BOM,H18,Office of Human Resources,,,Office of Human Resources
H20,OSG,H20,Operations Support Group,,,Operations Support Group
H21,BDP,H21,Bureau for Dev. Policy,,,Bureau for Dev. Policy
H22,BOM,H22,BOM/Ofc of Asst Administrator,,,BOM/Ofc of Asst Administrator
H23,PB,H23,PB,,,PB
H24,PB,H24,PB/Liaison/Geneva,,,PB/Liaison/Geneva
H25,PB,H25,PB/Liaison/Tokyo,,,PB/Liaison/Tokyo
H27,PB,H27,PB/Liaison/Brussels,,,PB/Liaison/Brussels
H28,PB,H28,PB/Liaison/Copenhagen,,,PB/Liaison/Copenhagen
H42,SU_TCDC,H42,Spcl Unit for South South Coop,,,Spcl Unit for South South Coop
H43,HDRO,H43,Human Development Report Ofc,,,Human Development Report Ofc
H44,PB,H44,UNDP News,,,UNDP News
H45,DOCO,H45,UN Developmt Coordination Unit,,,UN Developmt Coordination Unit
H46,BOM,H46,Security Operations,,,Security Operations
H48,BOM,H48,Ofc of Info Systems&Technology,,,Ofc of Info Systems&Technology
H51,OMBUDSMAN,H51,Office of Ombudsman,,,Office of Ombudsman
H54,ODS,H54,Office for Development Studies,,,Office for Development Studies
H59,UNCDF,H59,UN Capital Development  Fund,,,UN Capital Development  Fund
H62,PB,H62,PB/South Korea Liaison Office,,,PB/South Korea Liaison Office
PAL,PAPP,PAL,Prog for Palestinian People,35.25,32.1,Prog for Palestinian People
PSC,RBAP,PSC,Pacific Centre (PC),,,Pacific Centre (PC)
